farmer_id,district,state,crop,N_applied_kg_per_ha
131,Gadag,Karnataka,Wheat,120
132,Gadag,Karnataka,Wheat,120
133,Gadag,Karnataka,Wheat,110
134,Gadag,Karnataka,Wheat,140
135,Gadag,Karnataka,Wheat,120
136,Gadag,Karnataka,Wheat,100
137,Gadag,Karnataka,Wheat,120
138,Gadag,Karnataka,Wheat,100
139,Gadag,Karnataka,Wheat,120
140,Gadag,Karnataka,Wheat,100
141,Gadag,Karnataka,Wheat,70
142,Gadag,Karnataka,Wheat,140
143,Gadag,Karnataka,Wheat,140
144,Gadag,Karnataka,Wheat,140
145,Gadag,Karnataka,Wheat,100
146,Gadag,Karnataka,Wheat,100
147,Gadag,Karnataka,Wheat,60
148,Gadag,Karnataka,Wheat,120
149,Gadag,Karnataka,Wheat,120
150,Gadag,Karnataka,Wheat,60
151,Gadag,Karnataka,Wheat,110
152,Gadag,Karnataka,Wheat,110
153,Gadag,Karnataka,Wheat,80
154,Gadag,Karnataka,Wheat,150
155,Gadag,Karnataka,Wheat,110
156,Gadag,Karnataka,Wheat,140
157,Gadag,Karnataka,Wheat,140
158,Gadag,Karnataka,Wheat,120
159,Gadag,Karnataka,Wheat,120
160,Gadag,Karnataka,Wheat,110
161,Gadag,Karnataka,Wheat,140
162,Gadag,Karnataka,Wheat,80
163,Gadag,Karnataka,Wheat,100
164,Gadag,Karnataka,Wheat,70
165,Gadag,Karnataka,Wheat,160
166,Gadag,Karnataka,Wheat,110
167,Gadag,Karnataka,Wheat,80
168,Gadag,Karnataka,Wheat,120
169,Gadag,Karnataka,Wheat,120
170,Gadag,Karnataka,Wheat,150
171,Gadag,Karnataka,Wheat,110
172,Gadag,Karnataka,Wheat,110
173,Gadag,Karnataka,Wheat,150
174,Gadag,Karnataka,Wheat,100
175,Gadag,Karnataka,Wheat,100
176,Gadag,Karnataka,Wheat,100
177,Gadag,Karnataka,Wheat,110
178,Gadag,Karnataka,Wheat,70
179,Gadag,Karnataka,Wheat,120
180,Gadag,Karnataka,Wheat,60
181,Gadag,Karnataka,Wheat,150
182,Gadag,Karnataka,Wheat,100
183,Gadag,Karnataka,Wheat,120
184,Gadag,Karnataka,Wheat,120
185,Gadag,Karnataka,Wheat,110
186,Gadag,Karnataka,Wheat,160
187,Gadag,Karnataka,Wheat,100
188,Gadag,Karnataka,Wheat,70
189,Gadag,Karnataka,Wheat,70
190,Gadag,Karnataka,Wheat,110
191,Gadag,Karnataka,Wheat,100
192,Gadag,Karnataka,Wheat,100
193,Gadag,Karnataka,Wheat,120
194,Gadag,Karnataka,Wheat,100
195,Gadag,Karnataka,Wheat,110
196,Gadag,Karnataka,Wheat,100
197,Gadag,Karnataka,Wheat,60
198,Gadag,Karnataka,Wheat,60
199,Gadag,Karnataka,Wheat,70
200,Gadag,Karnataka,Wheat,140
201,Gadag,Karnataka,Wheat,110
202,Gadag,Karnataka,Wheat,140
203,Gadag,Karnataka,Wheat,100
204,Gadag,Karnataka,Wheat,100
205,Gadag,Karnataka,Wheat,110
206,Gadag,Karnataka,Wheat,150
207,Gadag,Karnataka,Wheat,110
208,Gadag,Karnataka,Wheat,110
209,Gadag,Karnataka,Wheat,100
210,Gadag,Karnataka,Wheat,120
211,Gadag,Karnataka,Wheat,160
212,Gadag,Karnataka,Wheat,150
213,Gadag,Karnataka,Wheat,100
214,Gadag,Karnataka,Wheat,120
215,Gadag,Karnataka,Wheat,160
216,Gadag,Karnataka,Wheat,150
217,Gadag,Karnataka,Wheat,100
218,Gadag,Karnataka,Wheat,80
219,Gadag,Karnataka,Wheat,100
220,Gadag,Karnataka,Wheat,80
221,Gadag,Karnataka,Wheat,110
222,Gadag,Karnataka,Wheat,110
223,Gadag,Karnataka,Wheat,110
224,Gadag,Karnataka,Wheat,140
225,Gadag,Karnataka,Wheat,110
226,Gadag,Karnataka,Wheat,100
227,Gadag,Karnataka,Wheat,140
228,Gadag,Karnataka,Wheat,140
229,Gadag,Karnataka,Wheat,100
230,Gadag,Karnataka,Wheat,160
231,Gadag,Karnataka,Wheat,150
232,Gadag,Karnataka,Wheat,120
233,Gadag,Karnataka,Wheat,140
234,Gadag,Karnataka,Wheat,120
235,Gadag,Karnataka,Wheat,140
236,Gadag,Karnataka,Wheat,110
237,Gadag,Karnataka,Wheat,150
238,Gadag,Karnataka,Wheat,100
239,Gadag,Karnataka,Wheat,120
240,Gadag,Karnataka,Wheat,60
241,Gadag,Karnataka,Wheat,140
242,Gadag,Karnataka,Wheat,110
243,Gadag,Karnataka,Wheat,120
244,Gadag,Karnataka,Wheat,100
245,Gadag,Karnataka,Wheat,60
246,Gadag,Karnataka,Wheat,100
247,Gadag,Karnataka,Wheat,160
248,Gadag,Karnataka,Wheat,160
249,Gadag,Karnataka,Wheat,70
250,Gadag,Karnataka,Wheat,150
251,Gadag,Karnataka,Wheat,100
252,Gadag,Karnataka,Wheat,100
253,Gadag,Karnataka,Wheat,110
254,Gadag,Karnataka,Wheat,140
255,Gadag,Karnataka,Wheat,140
256,Gadag,Karnataka,Wheat,80
257,Gadag,Karnataka,Wheat,110
258,Gadag,Karnataka,Wheat,120
259,Gadag,Karnataka,Wheat,100
260,Gadag,Karnataka,Wheat,110
261,Gadag,Karnataka,Wheat,140
262,Gadag,Karnataka,Wheat,100
263,Gadag,Karnataka,Wheat,140
264,Gadag,Karnataka,Wheat,110
265,Gadag,Karnataka,Wheat,120
266,Gadag,Karnataka,Wheat,150
267,Gadag,Karnataka,Wheat,110
268,Gadag,Karnataka,Wheat,160
269,Gadag,Karnataka,Wheat,100
270,Gadag,Karnataka,Wheat,70
271,Gadag,Karnataka,Wheat,60
272,Gadag,Karnataka,Wheat,160
273,Gadag,Karnataka,Wheat,100
274,Gadag,Karnataka,Wheat,100
275,Gadag,Karnataka,Wheat,100
276,Gadag,Karnataka,Wheat,60
277,Gadag,Karnataka,Wheat,110
278,Gadag,Karnataka,Wheat,140
279,Gadag,Karnataka,Wheat,140
280,Gadag,Karnataka,Wheat,110
281,Gadag,Karnataka,Wheat,140
282,Gadag,Karnataka,Wheat,120
283,Gadag,Karnataka,Wheat,150
284,Gadag,Karnataka,Wheat,60
285,Gadag,Karnataka,Wheat,120
286,Gadag,Karnataka,Wheat,150
287,Gadag,Karnataka,Wheat,120
288,Gadag,Karnataka,Wheat,70
289,Gadag,Karnataka,Wheat,150
290,Gadag,Karnataka,Wheat,100
291,Gadag,Karnataka,Wheat,110
292,Gadag,Karnataka,Wheat,110
293,Gadag,Karnataka,Wheat,100
294,Gadag,Karnataka,Wheat,160
295,Gadag,Karnataka,Wheat,100
296,Gadag,Karnataka,Wheat,100
297,Gadag,Karnataka,Wheat,140
298,Gadag,Karnataka,Wheat,80
299,Gadag,Karnataka,Wheat,150
300,Gadag,Karnataka,Wheat,100
301,Gadag,Karnataka,Wheat,110
302,Gadag,Karnataka,Wheat,70
303,Gadag,Karnataka,Wheat,140
304,Gadag,Karnataka,Wheat,60
305,Gadag,Karnataka,Wheat,150
306,Gadag,Karnataka,Wheat,140
307,Gadag,Karnataka,Wheat,110
308,Gadag,Karnataka,Wheat,110
309,Gadag,Karnataka,Wheat,140
310,Gadag,Karnataka,Wheat,150
311,Gadag,Karnataka,Wheat,80
312,Gadag,Karnataka,Wheat,120
313,Gadag,Karnataka,Wheat,140
314,Gadag,Karnataka,Wheat,100
315,Gadag,Karnataka,Wheat,140
316,Gadag,Karnataka,Wheat,100
317,Gadag,Karnataka,Wheat,150
318,Gadag,Karnataka,Wheat,100
319,Gadag,Karnataka,Wheat,110
320,Gadag,Karnataka,Wheat,100
321,Gadag,Karnataka,Wheat,110
322,Gadag,Karnataka,Wheat,150
323,Gadag,Karnataka,Wheat,120
324,Gadag,Karnataka,Wheat,110
325,Gadag,Karnataka,Wheat,120
326,Gadag,Karnataka,Wheat,100
327,Gadag,Karnataka,Wheat,100
328,Gadag,Karnataka,Wheat,80
329,Gadag,Karnataka,Wheat,120
330,Gadag,Karnataka,Wheat,80
331,Gadag,Karnataka,Wheat,150
332,Gadag,Karnataka,Wheat,120
333,Gadag,Karnataka,Wheat,150
334,Gadag,Karnataka,Wheat,110
335,Gadag,Karnataka,Wheat,120
336,Gadag,Karnataka,Wheat,120
337,Gadag,Karnataka,Wheat,100
338,Gadag,Karnataka,Wheat,120
339,Gadag,Karnataka,Wheat,120
340,Gadag,Karnataka,Wheat,100
341,Gadag,Karnataka,Wheat,150
342,Gadag,Karnataka,Wheat,150
343,Gadag,Karnataka,Wheat,140
344,Gadag,Karnataka,Wheat,140
345,Gadag,Karnataka,Wheat,110
346,Gadag,Karnataka,Wheat,120
347,Gadag,Karnataka,Wheat,60
348,Gadag,Karnataka,Wheat,120
349,Gadag,Karnataka,Wheat,100
350,Gadag,Karnataka,Wheat,160
351,Gadag,Karnataka,Wheat,110
352,Gadag,Karnataka,Wheat,120
353,Gadag,Karnataka,Wheat,60
354,Gadag,Karnataka,Wheat,110
355,Gadag,Karnataka,Wheat,60
356,Gadag,Karnataka,Wheat,100
357,Gadag,Karnataka,Wheat,110
358,Gadag,Karnataka,Wheat,140
359,Gadag,Karnataka,Wheat,100
360,Gadag,Karnataka,Wheat,110
361,Gadag,Karnataka,Wheat,140
362,Gadag,Karnataka,Wheat,110
363,Gadag,Karnataka,Wheat,60
364,Gadag,Karnataka,Wheat,60
365,Gadag,Karnataka,Wheat,80
366,Gadag,Karnataka,Wheat,80
367,Gadag,Karnataka,Wheat,110
368,Gadag,Karnataka,Wheat,120
369,Gadag,Karnataka,Wheat,110
370,Gadag,Karnataka,Wheat,110
371,Gadag,Karnataka,Wheat,80
372,Gadag,Karnataka,Wheat,120
373,Gadag,Karnataka,Wheat,160
374,Gadag,Karnataka,Wheat,100
375,Gadag,Karnataka,Wheat,150
376,Gadag,Karnataka,Wheat,120
377,Gadag,Karnataka,Wheat,80
378,Gadag,Karnataka,Wheat,110
379,Gadag,Karnataka,Wheat,100
380,Gadag,Karnataka,Wheat,110
381,Gadag,Karnataka,Wheat,100
382,Gadag,Karnataka,Wheat,140
383,Gadag,Karnataka,Wheat,120
384,Gadag,Karnataka,Wheat,110
385,Gadag,Karnataka,Wheat,80
386,Gadag,Karnataka,Wheat,120
387,Gadag,Karnataka,Wheat,100
388,Gadag,Karnataka,Wheat,110
389,Gadag,Karnataka,Wheat,110
390,Gadag,Karnataka,Wheat,150
391,Gadag,Karnataka,Wheat,120
392,Gadag,Karnataka,Wheat,140
393,Gadag,Karnataka,Wheat,140
394,Gadag,Karnataka,Wheat,70
395,Gadag,Karnataka,Wheat,110
396,Gadag,Karnataka,Wheat,70
397,Gadag,Karnataka,Wheat,160
398,Gadag,Karnataka,Wheat,160
399,Gadag,Karnataka,Wheat,100
400,Gadag,Karnataka,Wheat,160
401,Gadag,Karnataka,Wheat,160
402,Gadag,Karnataka,Wheat,150
403,Gadag,Karnataka,Wheat,150
404,Gadag,Karnataka,Wheat,80
405,Gadag,Karnataka,Wheat,150
406,Gadag,Karnataka,Wheat,110
407,Gadag,Karnataka,Wheat,100
408,Gadag,Karnataka,Wheat,70
409,Gadag,Karnataka,Wheat,100
410,Gadag,Karnataka,Wheat,120
411,Gadag,Karnataka,Wheat,110
412,Gadag,Karnataka,Wheat,100
413,Gadag,Karnataka,Wheat,120
414,Gadag,Karnataka,Wheat,120
415,Gadag,Karnataka,Wheat,110
416,Gadag,Karnataka,Wheat,110
417,Gadag,Karnataka,Wheat,110
418,Gadag,Karnataka,Wheat,140
419,Gadag,Karnataka,Wheat,100
420,Gadag,Karnataka,Wheat,60
421,Gadag,Karnataka,Wheat,160
422,Gadag,Karnataka,Wheat,110
423,Gadag,Karnataka,Wheat,110
424,Gadag,Karnataka,Wheat,60
425,Gadag,Karnataka,Wheat,150
426,Gadag,Karnataka,Wheat,80
427,Gadag,Karnataka,Wheat,160
428,Gadag,Karnataka,Wheat,70
429,Gadag,Karnataka,Wheat,60
430,Gadag,Karnataka,Wheat,60
431,Gadag,Karnataka,Wheat,150
432,Gadag,Karnataka,Wheat,140
433,Gadag,Karnataka,Wheat,160
434,Gadag,Karnataka,Wheat,110
435,Gadag,Karnataka,Wheat,100
436,Gadag,Karnataka,Wheat,110
437,Gadag,Karnataka,Wheat,160
438,Gadag,Karnataka,Wheat,120
439,Gadag,Karnataka,Wheat,100
440,Gadag,Karnataka,Wheat,120
441,Gadag,Karnataka,Wheat,100
442,Gadag,Karnataka,Wheat,160
443,Gadag,Karnataka,Wheat,100
444,Gadag,Karnataka,Wheat,160
445,Gadag,Karnataka,Wheat,110
446,Gadag,Karnataka,Wheat,160
447,Gadag,Karnataka,Wheat,110
448,Gadag,Karnataka,Wheat,80
449,Gadag,Karnataka,Wheat,140
450,Gadag,Karnataka,Wheat,120
451,Gadag,Karnataka,Wheat,100
452,Gadag,Karnataka,Wheat,60
453,Gadag,Karnataka,Wheat,120
454,Gadag,Karnataka,Wheat,110
455,Gadag,Karnataka,Wheat,110
456,Gadag,Karnataka,Wheat,160
457,Gadag,Karnataka,Wheat,150
458,Gadag,Karnataka,Wheat,160
459,Gadag,Karnataka,Wheat,100
460,Gadag,Karnataka,Wheat,80
461,Gadag,Karnataka,Wheat,140
462,Gadag,Karnataka,Wheat,100
463,Gadag,Karnataka,Wheat,120
464,Gadag,Karnataka,Wheat,110
465,Gadag,Karnataka,Wheat,100
466,Gadag,Karnataka,Wheat,150
467,Gadag,Karnataka,Wheat,150
468,Gadag,Karnataka,Wheat,120
469,Gadag,Karnataka,Wheat,110
470,Gadag,Karnataka,Wheat,110
471,Gadag,Karnataka,Wheat,110
472,Gadag,Karnataka,Wheat,60
473,Gadag,Karnataka,Wheat,80
474,Gadag,Karnataka,Wheat,140
475,Gadag,Karnataka,Wheat,160
476,Gadag,Karnataka,Wheat,80
477,Gadag,Karnataka,Wheat,110
478,Gadag,Karnataka,Wheat,70
479,Gadag,Karnataka,Wheat,150
480,Gadag,Karnataka,Wheat,140
481,Gadag,Karnataka,Wheat,60
482,Gadag,Karnataka,Wheat,70
483,Gadag,Karnataka,Wheat,140
484,Gadag,Karnataka,Wheat,160
485,Gadag,Karnataka,Wheat,120
486,Gadag,Karnataka,Wheat,100
487,Gadag,Karnataka,Wheat,110
488,Gadag,Karnataka,Wheat,140
489,Gadag,Karnataka,Wheat,120
490,Gadag,Karnataka,Wheat,100
491,Gadag,Karnataka,Wheat,150
492,Gadag,Karnataka,Wheat,110
493,Gadag,Karnataka,Wheat,120
494,Gadag,Karnataka,Wheat,120
495,Gadag,Karnataka,Wheat,80
496,Gadag,Karnataka,Wheat,60
497,Gadag,Karnataka,Wheat,110
498,Gadag,Karnataka,Wheat,60
499,Gadag,Karnataka,Wheat,120
500,Gadag,Karnataka,Wheat,110
501,Gadag,Karnataka,Wheat,60
502,Gadag,Karnataka,Wheat,100
503,Gadag,Karnataka,Wheat,140
504,Gadag,Karnataka,Wheat,110
505,Gadag,Karnataka,Wheat,60
506,Gadag,Karnataka,Wheat,80
507,Gadag,Karnataka,Wheat,100
508,Gadag,Karnataka,Wheat,120
509,Gadag,Karnataka,Wheat,120
510,Gadag,Karnataka,Wheat,110
511,Gadag,Karnataka,Wheat,60
512,Gadag,Karnataka,Wheat,120
513,Gadag,Karnataka,Wheat,70
514,Gadag,Karnataka,Wheat,110
515,Gadag,Karnataka,Wheat,100
516,Gadag,Karnataka,Wheat,110
517,Gadag,Karnataka,Wheat,140
518,Gadag,Karnataka,Wheat,120
519,Gadag,Karnataka,Wheat,150
520,Gadag,Karnataka,Wheat,110
521,Gadag,Karnataka,Wheat,100
522,Gadag,Karnataka,Wheat,70
523,Gadag,Karnataka,Wheat,140
524,Gadag,Karnataka,Wheat,120
525,Gadag,Karnataka,Wheat,120
526,Gadag,Karnataka,Wheat,110
527,Gadag,Karnataka,Wheat,100
528,Gadag,Karnataka,Wheat,60
529,Gadag,Karnataka,Wheat,110
530,Gadag,Karnataka,Wheat,150
531,Gadag,Karnataka,Wheat,110
532,Gadag,Karnataka,Wheat,140
533,Gadag,Karnataka,Wheat,70
534,Gadag,Karnataka,Wheat,110
535,Gadag,Karnataka,Wheat,80
536,Gadag,Karnataka,Wheat,100
537,Gadag,Karnataka,Wheat,60
538,Gadag,Karnataka,Wheat,140
539,Gadag,Karnataka,Wheat,110
540,Gadag,Karnataka,Wheat,140
541,Gadag,Karnataka,Wheat,110
542,Gadag,Karnataka,Wheat,160
543,Gadag,Karnataka,Wheat,100
544,Gadag,Karnataka,Wheat,110
545,Gadag,Karnataka,Wheat,100
546,Gadag,Karnataka,Wheat,110
547,Gadag,Karnataka,Wheat,140
548,Gadag,Karnataka,Wheat,160
549,Gadag,Karnataka,Wheat,140
550,Gadag,Karnataka,Wheat,100
551,Gadag,Karnataka,Wheat,110
552,Gadag,Karnataka,Wheat,120
553,Gadag,Karnataka,Wheat,110
554,Gadag,Karnataka,Wheat,150
555,Gadag,Karnataka,Wheat,100
556,Gadag,Karnataka,Wheat,100
557,Gadag,Karnataka,Wheat,70
558,Gadag,Karnataka,Wheat,110
559,Gadag,Karnataka,Wheat,110
560,Gadag,Karnataka,Wheat,60
561,Gadag,Karnataka,Wheat,110
562,Gadag,Karnataka,Wheat,100
563,Gadag,Karnataka,Wheat,60
564,Gadag,Karnataka,Wheat,120
565,Gadag,Karnataka,Wheat,150
566,Gadag,Karnataka,Wheat,100
567,Gadag,Karnataka,Wheat,110
568,Gadag,Karnataka,Wheat,150
569,Gadag,Karnataka,Wheat,110
570,Gadag,Karnataka,Wheat,110
571,Gadag,Karnataka,Wheat,80
572,Gadag,Karnataka,Wheat,60
573,Gadag,Karnataka,Wheat,110
574,Gadag,Karnataka,Wheat,80
575,Gadag,Karnataka,Wheat,100
576,Gadag,Karnataka,Wheat,120
577,Gadag,Karnataka,Wheat,160
578,Gadag,Karnataka,Wheat,110
579,Gadag,Karnataka,Wheat,60
580,Gadag,Karnataka,Wheat,120
581,Gadag,Karnataka,Wheat,120
582,Gadag,Karnataka,Wheat,140
583,Gadag,Karnataka,Wheat,100
584,Gadag,Karnataka,Wheat,60
585,Gadag,Karnataka,Wheat,140
586,Gadag,Karnataka,Wheat,100
587,Gadag,Karnataka,Wheat,100
588,Gadag,Karnataka,Wheat,110
589,Gadag,Karnataka,Wheat,120
590,Gadag,Karnataka,Wheat,140
591,Gadag,Karnataka,Wheat,80
592,Gadag,Karnataka,Wheat,110
593,Gadag,Karnataka,Wheat,60
594,Gadag,Karnataka,Wheat,80
595,Gadag,Karnataka,Wheat,140
596,Gadag,Karnataka,Wheat,160
597,Gadag,Karnataka,Wheat,110
598,Gadag,Karnataka,Wheat,160
599,Gadag,Karnataka,Wheat,100
600,Gadag,Karnataka,Wheat,140
601,Gadag,Karnataka,Wheat,110
602,Gadag,Karnataka,Wheat,150
603,Gadag,Karnataka,Wheat,120
604,Gadag,Karnataka,Wheat,100
605,Gadag,Karnataka,Wheat,160
606,Gadag,Karnataka,Wheat,80
607,Gadag,Karnataka,Wheat,150
608,Gadag,Karnataka,Wheat,110
609,Gadag,Karnataka,Wheat,120
610,Gadag,Karnataka,Wheat,100
611,Gadag,Karnataka,Wheat,70
612,Gadag,Karnataka,Wheat,100
613,Gadag,Karnataka,Wheat,110
614,Gadag,Karnataka,Wheat,80
615,Gadag,Karnataka,Wheat,110
616,Gadag,Karnataka,Wheat,110
617,Gadag,Karnataka,Wheat,120
618,Gadag,Karnataka,Wheat,100
619,Gadag,Karnataka,Wheat,60
620,Gadag,Karnataka,Wheat,110
621,Gadag,Karnataka,Wheat,120
622,Gadag,Karnataka,Wheat,100
623,Gadag,Karnataka,Wheat,110
624,Gadag,Karnataka,Wheat,110
625,Gadag,Karnataka,Wheat,100
626,Gadag,Karnataka,Wheat,110
627,Gadag,Karnataka,Wheat,120
628,Gadag,Karnataka,Wheat,150
629,Gadag,Karnataka,Wheat,60
630,Gadag,Karnataka,Wheat,120
631,Gadag,Karnataka,Wheat,70
632,Gadag,Karnataka,Wheat,110
633,Gadag,Karnataka,Wheat,70
634,Gadag,Karnataka,Wheat,100
635,Gadag,Karnataka,Wheat,120
636,Gadag,Karnataka,Wheat,110
637,Gadag,Karnataka,Wheat,120
638,Gadag,Karnataka,Wheat,100
639,Gadag,Karnataka,Wheat,120
640,Gadag,Karnataka,Wheat,110
641,Gadag,Karnataka,Wheat,150
642,Gadag,Karnataka,Wheat,100
643,Gadag,Karnataka,Wheat,100
644,Gadag,Karnataka,Wheat,140
645,Gadag,Karnataka,Wheat,60
646,Gadag,Karnataka,Wheat,120
647,Gadag,Karnataka,Wheat,140
648,Gadag,Karnataka,Wheat,110
649,Gadag,Karnataka,Wheat,160
650,Gadag,Karnataka,Wheat,160
651,Gadag,Karnataka,Wheat,150
652,Gadag,Karnataka,Wheat,80
653,Gadag,Karnataka,Wheat,100
654,Gadag,Karnataka,Wheat,100
655,Gadag,Karnataka,Wheat,150
656,Gadag,Karnataka,Wheat,110
657,Gadag,Karnataka,Wheat,100
658,Gadag,Karnataka,Wheat,80
659,Gadag,Karnataka,Wheat,140
660,Gadag,Karnataka,Wheat,80
661,Gadag,Karnataka,Wheat,100
662,Gadag,Karnataka,Wheat,150
663,Gadag,Karnataka,Wheat,120
664,Gadag,Karnataka,Wheat,110
665,Gadag,Karnataka,Wheat,100
666,Gadag,Karnataka,Wheat,80
667,Gadag,Karnataka,Wheat,100
668,Gadag,Karnataka,Wheat,100
669,Gadag,Karnataka,Wheat,140
670,Gadag,Karnataka,Wheat,60
671,Gadag,Karnataka,Wheat,120
672,Gadag,Karnataka,Wheat,60
673,Gadag,Karnataka,Wheat,70
674,Gadag,Karnataka,Wheat,140
675,Gadag,Karnataka,Wheat,100
676,Gadag,Karnataka,Wheat,120
677,Gadag,Karnataka,Wheat,120
678,Gadag,Karnataka,Wheat,80
679,Gadag,Karnataka,Wheat,110
680,Gadag,Karnataka,Wheat,100
681,Gadag,Karnataka,Wheat,100
682,Gadag,Karnataka,Wheat,140
683,Gadag,Karnataka,Wheat,140
684,Gadag,Karnataka,Wheat,100
685,Gadag,Karnataka,Wheat,160
686,Gadag,Karnataka,Wheat,110
687,Gadag,Karnataka,Wheat,100
688,Gadag,Karnataka,Wheat,110
689,Gadag,Karnataka,Wheat,100
690,Gadag,Karnataka,Wheat,60
691,Gadag,Karnataka,Wheat,100
692,Gadag,Karnataka,Wheat,110
693,Gadag,Karnataka,Wheat,80
694,Gadag,Karnataka,Wheat,160
695,Gadag,Karnataka,Wheat,140
696,Gadag,Karnataka,Wheat,160
697,Gadag,Karnataka,Wheat,150
