farmer_id,district,state,crop,N_applied_kg_per_ha,N2O_N_direct,N2O_N_indirect,Total_N2O_N,N2O_gas_kg_per_ha,CO2e_kg_per_ha
34,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
35,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
36,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
37,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
38,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
39,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
40,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
41,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
42,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
43,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
44,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
45,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
46,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
47,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
48,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
49,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
50,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
51,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
52,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
53,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
54,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
55,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
56,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
57,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
58,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
59,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
60,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
61,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
62,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
63,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
64,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
65,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
66,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
67,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
68,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
69,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
70,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
71,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
72,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
73,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
74,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
75,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
76,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
77,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
78,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
79,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
80,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
81,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
82,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
83,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
84,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
85,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
86,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
87,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
88,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
89,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
90,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
91,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
92,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
93,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
94,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
95,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
96,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
97,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
98,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
99,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
100,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
101,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
102,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
103,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
104,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
105,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
106,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
107,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
108,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
109,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
110,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
111,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
112,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
113,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
114,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
115,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
116,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
117,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
118,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
119,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
120,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
121,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
122,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
123,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
124,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
125,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
126,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
127,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
128,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
129,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
130,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
131,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
132,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
133,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
134,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
135,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
136,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
137,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
138,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
139,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
140,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
141,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
142,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
143,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
144,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
145,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
146,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
147,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
148,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
149,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
150,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
151,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
152,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
153,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
154,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
155,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
156,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
157,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
158,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
159,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
160,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
161,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
162,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
163,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
164,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
165,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
166,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
167,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
168,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
169,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
170,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
171,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
172,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
173,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
174,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
175,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
176,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
177,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
178,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
179,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
180,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
181,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
182,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
183,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
184,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
185,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
186,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
187,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
188,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
189,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
190,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
191,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
192,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
193,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
194,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
195,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
196,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
197,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
198,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
199,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
200,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
201,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
202,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
203,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
204,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
205,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
206,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
207,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
208,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
209,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
210,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
211,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
212,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
213,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
214,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
215,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
216,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
217,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
218,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
219,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
220,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
221,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
222,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
223,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
224,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
225,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
226,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
227,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
228,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
229,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
230,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
231,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
232,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
233,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
234,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
235,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
236,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
237,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
238,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
239,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
240,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
241,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
242,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
243,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
244,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
245,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
246,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
247,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
248,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
249,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
250,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
251,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
252,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
253,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
254,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
255,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
256,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
257,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
258,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
259,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
260,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
261,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
262,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
263,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
264,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
265,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
266,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
267,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
268,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
269,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
270,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
271,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
272,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
273,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
274,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
275,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
276,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
277,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
278,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
279,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
280,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
281,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
282,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
283,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
284,Gadag,Karnataka,Wheat,60,0.6,0.24,0.84,1.3188,393.00239999999997
285,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
286,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
287,Gadag,Karnataka,Wheat,120,1.2,0.48,1.68,2.6376,786.0047999999999
288,Gadag,Karnataka,Wheat,70,0.7000000000000001,0.28,0.9800000000000001,1.5386000000000002,458.50280000000004
289,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
290,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
291,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
292,Gadag,Karnataka,Wheat,110,1.1,0.44,1.54,2.4178,720.5044
293,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
294,Gadag,Karnataka,Wheat,160,1.6,0.64,2.24,3.5168000000000004,1048.0064000000002
295,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
296,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
297,Gadag,Karnataka,Wheat,140,1.4000000000000001,0.56,1.9600000000000002,3.0772000000000004,917.0056000000001
298,Gadag,Karnataka,Wheat,80,0.8,0.32,1.12,1.7584000000000002,524.0032000000001
299,Gadag,Karnataka,Wheat,150,1.5,0.6,2.1,3.297,982.5060000000001
300,Gadag,Karnataka,Wheat,100,1.0,0.4,1.4,2.198,655.004
